2026-06-30 11:29:06 [INFO] test: Logging-Setup OK
2026-06-30 11:31:37 [ERROR] pymodbus.logging: Connection to (223.223.223.1, 502) failed: timed out
2026-06-30 11:31:37 [ERROR] poller: Verbindungsfehler: Konnte nicht zu 223.223.223.1:502 verbinden
2026-06-30 11:31:37 [INFO] poller: Polling beendet.
2026-06-30 12:13:53 [INFO] poller: Verbunden mit 223.223.223.1:502
2026-06-30 12:13:53 [INFO] poller: temperatur_medium: 25.3022
2026-06-30 12:13:53 [INFO] poller: leitfaehigkeit: 0.2360
2026-06-30 12:14:03 [INFO] poller: temperatur_medium: 25.2968
2026-06-30 12:14:03 [INFO] poller: leitfaehigkeit: 0.2360
2026-06-30 12:14:13 [INFO] poller: temperatur_medium: 25.3052
2026-06-30 12:14:14 [INFO] poller: leitfaehigkeit: 0.2360
2026-06-30 12:14:24 [INFO] poller: temperatur_medium: 25.2977
2026-06-30 12:14:24 [INFO] poller: leitfaehigkeit: 0.2360
2026-06-30 12:14:34 [INFO] poller: temperatur_medium: 25.3038
2026-06-30 12:14:34 [INFO] poller: leitfaehigkeit: 0.2360
2026-06-30 12:14:44 [INFO] poller: temperatur_medium: 25.2974
2026-06-30 12:14:44 [INFO] poller: leitfaehigkeit: 0.2360
2026-06-30 12:14:54 [INFO] poller: temperatur_medium: 25.2987
2026-06-30 12:14:54 [INFO] poller: leitfaehigkeit: 0.2360
2026-06-30 12:15:04 [INFO] poller: temperatur_medium: 25.2988
2026-06-30 12:15:05 [INFO] poller: leitfaehigkeit: 0.2360
2026-06-30 12:15:15 [INFO] poller: temperatur_medium: 25.3012
2026-06-30 12:15:15 [INFO] poller: leitfaehigkeit: 0.2360
2026-06-30 12:15:25 [INFO] poller: temperatur_medium: 25.3010
2026-06-30 12:15:25 [INFO] poller: leitfaehigkeit: 0.2360
2026-06-30 12:15:35 [INFO] poller: temperatur_medium: 25.2971
2026-06-30 12:15:35 [INFO] poller: leitfaehigkeit: 0.2360
2026-06-30 12:15:45 [INFO] poller: temperatur_medium: 25.3021
2026-06-30 12:15:45 [INFO] poller: leitfaehigkeit: 0.2360
2026-06-30 12:15:55 [INFO] poller: temperatur_medium: 25.2931
2026-06-30 12:15:56 [INFO] poller: leitfaehigkeit: 0.2360
2026-06-30 12:16:06 [INFO] poller: temperatur_medium: 25.2945
2026-06-30 12:16:06 [INFO] poller: leitfaehigkeit: 0.2360
2026-06-30 12:16:16 [INFO] poller: temperatur_medium: 25.2979
2026-06-30 12:16:16 [INFO] poller: leitfaehigkeit: 0.2360
2026-06-30 12:16:26 [INFO] poller: temperatur_medium: 25.2965
2026-06-30 12:16:26 [INFO] poller: leitfaehigkeit: 0.2360
2026-06-30 12:16:36 [INFO] poller: temperatur_medium: 25.2885
2026-06-30 12:16:36 [INFO] poller: leitfaehigkeit: 0.2361
2026-06-30 12:16:46 [INFO] poller: temperatur_medium: 25.2980
2026-06-30 12:16:46 [INFO] poller: leitfaehigkeit: 0.2360
2026-06-30 12:16:57 [INFO] poller: temperatur_medium: 25.2998
2026-06-30 12:16:57 [INFO] poller: leitfaehigkeit: 0.2360
2026-06-30 12:17:07 [INFO] poller: temperatur_medium: 25.2998
